motor_id,rated_voltage_v,rated_power_w,frequency_hz,poles,rated_current_a,rated_torque_nm,efficiency,power_factor,efficiency_class,starting_torque_category,manufacturer,group_id,ist_in,mst_mn,mk_mn,eff_50,pf_50,eff_75,pf_75,rated_power_kw,rated_power_hp,output_frame,inertia_j_kgm2,max_locked_rotor_time_hot_s,max_locked_rotor_time_cold_s,weight_kg,noise_dba,rated_speed_rpm,eff_100,pf_100,source_file,source_page,missing_fields,parse_warnings
WEG_IE1_1p5kW_2P_380V_001,380,1500.000,50,2,3.52000,5.04062,0.78000,0.83000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,6.30000,2.70000,2.60000,0.75000,0.63000,0.78000,0.76000,1.500,2.000,90S/L,0.00170,7.000,15.000,13.500,64.000,2840.000,0.78000,0.83000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
WEG_IE1_2p2kW_2P_380V_002,380,2200.000,50,2,4.83000,7.48247,0.80000,0.85000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,6.80000,2.80000,2.90000,0.77000,0.63000,0.78000,0.77000,2.200,3.000,90S/L,0.00220,9.000,20.000,23.000,64.000,2810.000,0.80000,0.85000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
WEG_IE1_11p0kW_2P_380V_003,380,11000.000,50,2,22.40000,35.69621,0.87600,0.85000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,7.70000,2.60000,3.10000,0.85500,0.68000,0.87500,0.79000,11.000,15.000,160M/L,0.03350,7.000,15.000,85.600,70.000,2940.000,0.87600,0.85000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
WEG_IE1_15p0kW_2P_380V_004,380,15000.000,50,2,30.60000,48.64098,0.88700,0.84000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,8.70000,3.00000,3.50000,0.86600,0.67000,0.88500,0.78000,15.000,20.000,160M/L,0.04520,7.000,15.000,100.000,70.000,2945.000,0.88700,0.84000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
WEG_IE1_18p5kW_2P_380V_005,380,18500.000,50,2,36.90000,60.01670,0.89500,0.85000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,8.60000,3.00000,3.50000,0.88000,0.69000,0.89500,0.80000,18.500,25.000,160M/L*,0.05590,6.000,13.000,120.000,70.000,2945.000,0.89500,0.85000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
WEG_IE1_22p0kW_2P_380V_006,380,22000.000,50,2,43.50000,71.00015,0.90500,0.85000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,8.50000,2.60000,3.20000,0.89500,0.71000,0.90500,0.81000,22.000,30.000,180M/L,0.09210,7.000,15.000,141.000,70.000,2960.000,0.90500,0.85000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
WEG_IE1_30p0kW_2P_380V_007,380,30000.000,50,2,58.40000,96.79164,0.90700,0.86000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,7.20000,2.40000,2.80000,0.89500,0.73000,0.90700,0.82000,30.000,40.000,200M/L,0.19580,8.000,18.000,185.000,74.000,2960.000,0.90700,0.86000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
WEG_IE1_37p0kW_2P_380V_008,380,37000.000,50,2,71.50000,119.64113,0.91500,0.86000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,7.70000,2.60000,2.80000,0.90000,0.71000,0.91000,0.80000,37.000,50.000,200M/L,0.21280,8.000,18.000,211.000,74.000,2965.000,0.91500,0.86000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
WEG_IE1_3p0kW_2P_380V_009,380,3000.000,50,2,7.13000,10.10085,0.81500,0.78000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,6.20000,3.20000,3.10000,0.80000,0.55000,0.81000,0.68000,3.000,4.000,90S/L*,0.00250,6.000,13.000,24.000,64.000,2830.000,0.81500,0.78000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
WEG_IE1_9p2kW_2P_380V_010,380,9200.000,50,2,18.90000,29.91028,0.86900,0.85000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,7.60000,2.50000,3.00000,0.83600,0.69000,0.86500,0.80000,9.200,12.500,160M/L,0.03390,7.000,15.000,85.000,70.000,2940.000,0.86900,0.85000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
WEG_IE1_22p0kW_2P_380V_011,380,22000.000,50,2,43.70000,71.68661,0.90000,0.85000,IE1,Normal torque (IEC design N),WEG,WEG_IE1_50HZ,8.30000,3.00000,3.30000,0.89000,0.70000,0.89500,0.80000,22.000,30.000,160M/L*,0.06390,6.000,13.000,125.000,70.000,2930.000,0.90000,0.85000,WEG-WMO-W21-aluminium-multimounting-50096575-english-web.md,9,,
