motor_id,rated_voltage_v,rated_power_w,frequency_hz,poles,rated_current_a,rated_torque_nm,efficiency,power_factor,efficiency_class,starting_torque_category,manufacturer,group_id,ist_in,mst_mn,mk_mn,eff_50,pf_50,eff_75,pf_75,rated_power_kw,rated_power_hp,output_frame,inertia_j_kgm2,max_locked_rotor_time_hot_s,max_locked_rotor_time_cold_s,weight_kg,noise_dba,rated_speed_rpm,eff_100,pf_100,source_file,source_page,missing_fields,parse_warnings
WEG_IE4_9p2kW_2P_400V_001,400,9200.000,50,2,16.60000,293.21883,0.92200,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,9.70000,2.90000,3.70000,0.90100,0.74000,0.91400,0.83000,9.200,12.500,132M/L,0.03390,16.000,35.000,84.700,63.000,2940.000,0.92200,0.87000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_37p0kW_2P_400V_002,400,37000.000,50,2,64.00000,1166.99135,0.94800,0.88000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,9.20000,2.80000,3.40000,0.92900,0.78000,0.94000,0.85000,37.000,50.000,225S/M,0.37570,28.000,62.000,412.000,74.000,2970.000,0.94800,0.88000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_45p0kW_2P_400V_003,400,45000.000,50,2,78.60000,1421.96425,0.95000,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,9.20000,3.20000,3.40000,0.93200,0.76000,0.94300,0.84000,45.000,60.000,250S/M,0.50380,32.000,70.000,484.000,74.000,2970.000,0.95000,0.87000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_55p0kW_2P_400V_004,400,55000.000,50,2,93.60000,1735.77705,0.95300,0.89000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,8.10000,3.20000,3.20000,0.93700,0.79000,0.94600,0.86000,55.000,75.000,250S/M,0.60680,35.000,77.000,530.000,74.000,2970.000,0.95300,0.89000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_75p0kW_2P_400V_005,400,75000.000,50,2,132.00000,2353.59600,0.95600,0.86000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,8.30000,2.50000,3.20000,0.93600,0.75000,0.94800,0.83000,75.000,100.000,280S/M,1.51090,36.000,79.000,670.000,77.000,2981.000,0.95600,0.86000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_90p0kW_2P_400V_006,400,90000.000,50,2,154.00000,2834.12185,0.95800,0.88000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,8.40000,2.30000,3.00000,0.94300,0.78000,0.95200,0.85000,90.000,125.000,280S/M,1.59980,32.000,70.000,710.000,77.000,2979.000,0.95800,0.88000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_110p0kW_2P_400V_007,400,110000.000,50,2,190.00000,3461.74745,0.96000,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,8.00000,2.10000,2.90000,0.94000,0.76000,0.95500,0.84000,110.000,150.000,315S/M,2.34390,46.000,101.000,920.000,77.000,2980.000,0.96000,0.87000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_132p0kW_2P_400V_008,400,132000.000,50,2,225.00000,4148.21295,0.96200,0.88000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,8.30000,2.70000,3.30000,0.95100,0.79000,0.95900,0.85000,132.000,175.000,315S/M,2.55700,42.000,92.000,1020.000,77.000,2983.000,0.96200,0.88000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_150p0kW_2P_400V_009,400,150000.000,50,2,255.00000,4716.99865,0.96300,0.88000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,8.00000,2.30000,2.90000,0.95200,0.78000,0.96000,0.85000,150.000,200.000,315S/M,3.05220,35.000,77.000,1030.000,77.000,2980.000,0.96300,0.88000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_160p0kW_2P_400V_010,400,160000.000,50,2,269.00000,5030.81145,0.96300,0.89000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,8.40000,2.80000,3.00000,0.95400,0.80000,0.96200,0.86000,160.000,220.000,315S/M,3.05220,36.000,79.000,1135.000,77.000,2983.000,0.96300,0.89000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_280p0kW_2P_400V_011,400,280000.000,50,2,465.00000,8786.75840,0.96500,0.90000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,8.40000,2.80000,2.80000,0.95600,0.86000,0.96200,0.89000,280.000,380.000,355M/L,6.00530,36.000,79.000,1817.000,80.000,2986.000,0.96500,0.90000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
WEG_IE4_300p0kW_2P_400V_012,400,300000.000,50,2,493.00000,9414.38400,0.96500,0.91000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,8.90000,2.60000,2.60000,0.95800,0.87000,0.96200,0.90000,300.000,400.000,355M/L,6.00530,30.000,66.000,1815.000,80.000,2985.000,0.96500,0.91000,WEG-w22-three-phase-induction-motors-european-market-50025712-brochure-english-web.md,30,,
