motor_id,rated_voltage_v,rated_power_w,frequency_hz,poles,rated_current_a,rated_torque_nm,efficiency,power_factor,efficiency_class,starting_torque_category,manufacturer,group_id,ist_in,mst_mn,mk_mn,eff_50,pf_50,eff_75,pf_75,rated_power_kw,rated_power_hp,output_frame,inertia_j_kgm2,max_locked_rotor_time_hot_s,max_locked_rotor_time_cold_s,weight_kg,noise_dba,rated_speed_rpm,eff_100,pf_100,source_file,source_page,missing_fields,parse_warnings
WEG_IE4_220p0kW_2P_3300V_001,3300,220000.000,50,2,47.00000,709.02079,0.94100,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.00000,1.30000,2.60000,0.93500,0.75000,0.94100,0.84000,220.000,300.000,315G/F,1.84000,12.000,26.000,1250.000,89.000,2965.000,0.94100,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_250p0kW_2P_3300V_002,3300,250000.000,50,2,53.40000,805.12596,0.94200,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.00000,1.30000,2.60000,0.93700,0.75000,0.94200,0.84000,250.000,340.000,315G/F,1.84000,10.000,22.000,1300.000,89.000,2965.000,0.94200,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_260p0kW_2P_3300V_003,3300,260000.000,50,2,55.50000,837.48791,0.94300,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.00000,1.30000,2.60000,0.93800,0.75000,0.94300,0.84000,260.000,350.000,315G/F,1.84000,10.000,22.000,1300.000,89.000,2965.000,0.94300,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_280p0kW_2P_3300V_004,3300,280000.000,50,2,59.60000,902.21180,0.94500,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.50000,1.40000,2.70000,0.94000,0.75000,0.94500,0.84000,280.000,380.000,315G/F,1.96000,10.000,22.000,1350.000,89.000,2965.000,0.94500,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_300p0kW_2P_3300V_005,3300,300000.000,50,2,63.80000,965.95502,0.94600,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.50000,1.40000,2.70000,0.94200,0.75000,0.94600,0.84000,300.000,400.000,315G/F,2.09000,10.000,22.000,1400.000,89.000,2965.000,0.94600,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_315p0kW_2P_3300V_006,3300,315000.000,50,2,66.90000,1010.08495,0.94700,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.50000,1.40000,2.70000,0.94300,0.75000,0.94700,0.84000,315.000,430.000,315G/F,2.09000,10.000,22.000,1450.000,89.000,2968.000,0.94700,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_330p0kW_2P_3300V_007,3300,330000.000,50,2,69.90000,1059.11820,0.94900,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.80000,1.50000,2.70000,0.94600,0.75000,0.94900,0.84000,330.000,450.000,315G/F,2.24000,8.000,18.000,1450.000,89.000,2968.000,0.94900,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_355p0kW_2P_3300V_008,3300,355000.000,50,2,75.10000,1137.57140,0.95000,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.80000,1.50000,2.80000,0.94700,0.75000,0.95000,0.84000,355.000,480.000,315G/F,2.24000,8.000,18.000,1500.000,89.000,2968.000,0.95000,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_370p0kW_2P_3300V_009,3300,370000.000,50,2,78.30000,1186.60465,0.95100,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.80000,1.50000,2.80000,0.94800,0.75000,0.95100,0.84000,370.000,500.000,315G/F,2.41000,8.000,18.000,1550.000,89.000,2968.000,0.95100,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_400p0kW_2P_3300V_010,3300,400000.000,50,2,84.50000,1284.67115,0.95200,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.80000,1.50000,2.80000,0.94900,0.75000,0.95200,0.84000,400.000,550.000,315G/F,2.41000,8.000,18.000,1600.000,89.000,2968.000,0.95200,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_450p0kW_2P_3300V_011,3300,450000.000,50,2,94.90000,1451.38420,0.95300,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.80000,1.50000,2.80000,0.95000,0.75000,0.95300,0.84000,450.000,610.000,315G/F,2.58000,8.000,18.000,1650.000,89.000,2968.000,0.95300,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_500p0kW_2P_3300V_012,3300,500000.000,50,2,105.00000,1608.29060,0.95400,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.80000,1.50000,2.80000,0.95100,0.73000,0.95400,0.83000,500.000,680.000,315G/F*,2.58000,8.000,18.000,1700.000,89.000,2968.000,0.95400,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_560p0kW_2P_3300V_013,3300,560000.000,50,2,115.00000,1794.61695,0.95700,0.89000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,6.10000,0.70000,2.20000,0.96000,0.85000,0.95900,0.88000,560.000,750.000,355J/H,3.35000,18.000,40.000,2200.000,87.000,2975.000,0.95700,0.89000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_630p0kW_2P_3300V_014,3300,630000.000,50,2,132.00000,2020.16990,0.96200,0.87000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,6.50000,1.00000,2.40000,0.95900,0.79000,0.96200,0.85000,630.000,850.000,400J/H,8.49000,15.000,33.000,2250.000,90.000,2980.000,0.96200,0.87000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_660p0kW_2P_3300V_015,3300,660000.000,50,2,135.00000,2118.23640,0.95800,0.89000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,6.10000,0.70000,2.20000,0.96000,0.84000,0.95900,0.88000,660.000,900.000,355J/H,3.72000,15.000,33.000,2300.000,87.000,2970.000,0.95800,0.89000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_750p0kW_2P_3300V_016,3300,750000.000,50,2,154.00000,2412.43590,0.95900,0.89000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,6.20000,0.70000,2.20000,0.96100,0.83000,0.95900,0.88000,750.000,1000.000,355J/H,3.87000,12.000,26.000,2400.000,87.000,2970.000,0.95900,0.89000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_800p0kW_2P_3300V_017,3300,800000.000,50,2,165.00000,2569.34230,0.96300,0.88000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,6.80000,1.00000,2.40000,0.96000,0.80000,0.96300,0.86000,800.000,1100.000,400J/H,9.82000,15.000,33.000,2500.000,90.000,2975.000,0.96300,0.88000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_900p0kW_2P_3300V_018,3300,900000.000,50,2,186.00000,2892.96175,0.96400,0.88000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,6.80000,1.00000,2.40000,0.96100,0.80000,0.96400,0.86000,900.000,1250.000,400J/H,10.30000,15.000,33.000,2650.000,90.000,2975.000,0.96400,0.88000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_1100p0kW_2P_3300V_019,3300,1100000.000,50,2,224.00000,3530.39400,0.96500,0.89000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,7.00000,1.10000,2.50000,0.96200,0.81000,0.96500,0.87000,1100.000,1500.000,400J/H,10.70000,15.000,33.000,3000.000,90.000,2975.000,0.96500,0.89000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_1300p0kW_2P_3300V_020,3300,1300000.000,50,2,265.00000,4177.63290,0.96500,0.89000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,5.50000,0.60000,2.10000,0.96300,0.85000,0.96500,0.88000,1300.000,1750.000,450K/J,14.60000,15.000,33.000,3650.000,85.000,2975.000,0.96500,0.89000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_1400p0kW_2P_3300V_021,3300,1400000.000,50,2,285.00000,4491.44570,0.96500,0.89000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,5.50000,0.60000,2.10000,0.96300,0.85000,0.96500,0.88000,1400.000,1900.000,450K/J,15.80000,15.000,33.000,3850.000,85.000,2975.000,0.96500,0.89000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
WEG_IE4_1500p0kW_2P_3300V_022,3300,1500000.000,50,2,305.00000,4815.06515,0.96600,0.89000,IE4,Normal torque (IEC design N),WEG,WEG_IE4_50HZ,5.80000,0.60000,2.20000,0.96400,0.86000,0.96600,0.89000,1500.000,2000.000,450K/J*,16.90000,14.000,31.000,4050.000,85.000,2975.000,0.96600,0.89000,WEG-WMO_w40-motor-eletrico-trifasico-50107009-catalogo-spanish-web.md,6,,
